id,company_id,year,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_asset,total_assets,year_label,fiscal_year,month,is_ttm
1213,SHREECEM,Jun 2013,35.0,3809,1288.0,1028.0,6160.0,1782.0,133,2203,2042,6160.0,Jun 2013,2013.0,Jun,False
1214,SHREECEM,Jun 2014,35.0,4676,1200.0,1418.0,7329.0,2194.0,758,2244,2132,7329.0,Jun 2014,2014.0,Jun,False
1215,SHREECEM,Jun 2015,35.0,5241,917.0,1805.0,7998.0,3004.0,511,1662,2820,7998.0,Jun 2015,2015.0,Jun,False
1216,SHREECEM,Mar 2016,35.0,6811,881.0,1737.0,9463.0,3050.0,264,3030,3118,9463.0,Mar 2016,2016.0,Mar,False
1217,SHREECEM,Mar 2017,35.0,7663,1293.0,2175.0,11166.0,2599.0,710,4042,3814,11166.0,Mar 2017,2017.0,Mar,False
1218,SHREECEM,Mar 2018,35.0,8862,3403.0,2842.0,15142.0,3589.0,1427,5434,4691,15142.0,Mar 2018,2018.0,Mar,False
1219,SHREECEM,Mar 2019,35.0,9636,2803.0,3019.0,15493.0,6182.0,1129,2286,5896,15493.0,Mar 2019,2019.0,Mar,False
1220,SHREECEM,Mar 2020,36.0,13133,3146.0,3629.0,19944.0,6163.0,1197,6358,6227,19944.0,Mar 2020,2020.0,Mar,False
1221,SHREECEM,Mar 2021,36.0,15361,2230.0,3886.0,21513.0,6216.0,997,8500,5800,21513.0,Mar 2021,2021.0,Mar,False
1222,SHREECEM,Mar 2022,36.0,17424,2129.0,4159.0,23749.0,7282.0,1054,9033,6380,23749.0,Mar 2022,2022.0,Mar,False
1223,SHREECEM,Mar 2023,36.0,18600,2725.0,4973.0,26334.0,7481.0,2797,8683,7373,26334.0,Mar 2023,2023.0,Mar,False
1224,SHREECEM,Mar 2024,36.0,20667,1656.0,5566.0,27925.0,9591.0,1930,7556,8848,27925.0,Mar 2024,2024.0,Mar,False
1225,SHREECEM,Sep 2024,36.0,20843,1682.0,5297.0,27859.0,9656.0,2777,6943,8482,27859.0,Sep 2024,2024.0,Sep,False
1226,ZOMATO,2018,0.0,1036,186.0,152.0,1374.0,190.0,1,829,354,1374.0,2018,,,False
1227,ZOMATO,2019,0.0,2356,348.0,709.0,3413.0,389.0,1,2145,879,3413.0,2019,,,False
1228,ZOMATO,2020,0.0,457,326.0,2117.0,2900.0,1591.0,1,324,985,2900.0,2020,,,False
1229,ZOMATO,2021,0.0,7644,527.0,532.0,8704.0,1539.0,0,2205,4959,8704.0,2021,,,False
1230,ZOMATO,2022,764.0,15741,70.0,751.0,17327.0,1404.0,1,4718,11204,17327.0,2022,,,False
1231,ZOMATO,2023,836.0,18624,507.0,1632.0,21599.0,6344.0,7,6765,8483,21599.0,2023,,,False
1232,ZOMATO,2024,868.0,19545,749.0,2194.0,23356.0,6448.0,18,11645,5245,23356.0,2024,,,False
1233,ZOMATO,2024.5,872.0,20446,1159.0,2728.0,25205.0,8390.0,59,11708,5048,25205.0,2024.5,,,False
1234,WIPRO,2013,492.0,26072,6381.0,10675.0,43621.0,9996.0,407,6765,26454,43621.0,2013,,,False
1235,WIPRO,2014,493.0,31636,5159.0,12245.0,49533.0,10649.0,369,6146,32368,49533.0,2014,,,False
1236,WIPRO,2015,494.0,36598,7891.0,13367.0,58350.0,10837.0,395,5532,41586,58350.0,2015,,,False
1237,WIPRO,2016,494.0,45651,12522.0,12924.0,71590.0,17279.0,381,20915,33016,71590.0,2016,,,False
1238,WIPRO,2017,486.0,51184,14241.0,12761.0,78672.0,19886.0,738,29913,28135,78672.0,2017,,,False
1239,WIPRO,2018,905.0,47022,13901.0,13563.0,75391.0,18127.0,1378,25797,30090,75391.0,2018,,,False
1240,WIPRO,2019,1207.0,55216,9947.0,16217.0,82586.0,17465.0,2142,22887,40093,82586.0,2019,,,False
1241,WIPRO,2020,1143.0,54179,9724.0,15954.0,81000.0,22062.0,1881,20032,37024,81000.0,2020,,,False
1242,WIPRO,2021,1096.0,53805,10451.0,17213.0,82566.0,23040.0,1853,18775,38898,82566.0,2021,,,False
