id,company_id,year,sales,expenses,operating_profit,opm_percentage,other_income,interest,depreciation,profit_before_tax,tax_percentage,net_profit,eps,dividend_payout,year_label,fiscal_year,month,is_ttm
212,BAJAJ-AUTO,Mar 2019,30358.0,25160.0,5198.0,17.0,2028.0,4,266,6956.0,29.0,4928.0,170.0,35.0,Mar 2019,2019.0,Mar,False
213,BAJAJ-AUTO,Mar 2020,29919.0,24809.0,5109.0,17.0,1832.0,3,246,6692.0,22.0,5212.0,180.0,67.0,Mar 2020,2020.0,Mar,False
214,BAJAJ-AUTO,Mar 2021,27741.0,22803.0,4938.0,18.0,1570.0,7,259,6241.0,22.0,4857.0,168.0,83.0,Mar 2021,2021.0,Mar,False
215,BAJAJ-AUTO,Mar 2022,33145.0,27886.0,5259.0,16.0,2671.0,9,270,7652.0,19.0,6166.0,213.0,66.0,Mar 2022,2022.0,Mar,False
216,BAJAJ-AUTO,Mar 2023,36455.0,29991.0,6465.0,18.0,1703.0,40,286,7842.0,23.0,6060.0,214.0,65.0,Mar 2023,2023.0,Mar,False
217,BAJAJ-AUTO,Mar 2024,44870.0,36106.0,8765.0,20.0,1700.0,60,365,10040.0,23.0,7708.0,276.0,29.0,Mar 2024,2024.0,Mar,False
218,BAJAJ-AUTO,TTM,48900.0,39757.0,9143.0,19.0,1535.0,164,379,10135.0,,7371.0,263.0,,TTM,,,True
219,AXISBANK,Mar 2013,27183.0,17516.0,8313.0,1353.0,5.0,6551,352,7553.0,31.0,5179.0,22.0,16.0,Mar 2013,2013.0,Mar,False
220,AXISBANK,Mar 2014,30641.0,18690.0,9644.0,2307.0,8.0,7405,364,9349.0,33.0,6218.0,26.0,15.0,Mar 2014,2014.0,Mar,False
221,AXISBANK,Mar 2015,35479.0,21254.0,11127.0,3097.0,9.0,8365,406,11057.0,33.0,7358.0,31.0,15.0,Mar 2015,2015.0,Mar,False
222,AXISBANK,Mar 2016,40988.0,24155.0,13367.0,3466.0,8.0,9371,444,12394.0,34.0,8224.0,35.0,14.0,Mar 2016,2016.0,Mar,False
223,AXISBANK,Mar 2017,44542.0,26449.0,23808.0,-5715.0,-13.0,11691,509,5468.0,33.0,3679.0,15.0,33.0,Mar 2017,2017.0,Mar,False
224,AXISBANK,Mar 2018,45780.0,27163.0,28895.0,-10277.0,-22.0,10967,568,122.0,-99.0,276.0,1.0,0.0,Mar 2018,2018.0,Mar,False
225,AXISBANK,Mar 2019,54986.0,33278.0,27155.0,-5447.0,-10.0,13130,710,6974.0,33.0,4677.0,18.0,6.0,Mar 2019,2019.0,Mar,False
226,AXISBANK,Mar 2020,62635.0,37429.0,35066.0,-9859.0,-16.0,15537,773,4904.0,67.0,1627.0,6.0,0.0,Mar 2020,2020.0,Mar,False
227,AXISBANK,Mar 2021,63346.0,34107.0,31749.0,-2510.0,-4.0,12264,948,8806.0,25.0,6588.0,22.0,0.0,Mar 2021,2021.0,Mar,False
228,AXISBANK,Mar 2022,67377.0,34245.0,29962.0,3170.0,5.0,15221,1008,17383.0,25.0,13025.0,42.0,2.0,Mar 2022,2022.0,Mar,False
229,AXISBANK,Mar 2023,85164.0,42218.0,29089.0,13857.0,16.0,16143,13094,16906.0,43.0,9580.0,31.0,3.0,Mar 2023,2023.0,Mar,False
230,AXISBANK,Mar 2024,109369.0,59474.0,37943.0,11952.0,11.0,22442,1334,33060.0,25.0,24861.0,81.0,1.0,Mar 2024,2024.0,Mar,False
231,AXISBANK,TTM,120659.0,67033.0,44566.0,9061.0,8.0,25243,0,34304.0,,26386.0,85.0,,TTM,,,True
232,BAJAJFINSV,Mar 2013,8055.0,4124.0,3931.0,49.0,2.0,1204,22,2708.0,18.0,2214.0,10.0,2.0,Mar 2013,2013.0,Mar,False
233,BAJAJFINSV,Mar 2014,6023.0,1531.0,4491.0,75.0,3.0,1562,31,2902.0,24.0,2191.0,10.0,2.0,Mar 2014,2014.0,Mar,False
